81	2013-02-18	474	barchart_gnuplot	1.0.0	473	Count1	1.0.0
82	2013-02-18	476	CONVERTER_interval_to_bedstrict_0	1.0.0	475		
82	2013-02-18	487	Count1	1.0.0	483	gops_intersect_1	1.0.0
82	2013-02-18	485	CONVERTER_interval_to_bed_0	1.0.0	484	cshl_find_and_replace	1.0.0
82	2013-02-18	486	CONVERTER_interval_to_bedstrict_0	1.0.0	485	CONVERTER_interval_to_bed_0	1.0.0
83	2013-02-18	490	gops_intersect_1	1.0.0	489		
83	2013-02-18	490	gops_intersect_1	1.0.0	491		
83	2013-02-18	493	barchart_gnuplot	1.0.0	492	Count1	1.0.0
86	2013-02-19	505	gops_intersect_1	1.0.0	506		
95	2013-02-20	672	gops_intersect_1	1.0.0	671		
95	2013-02-20	674	Count1	1.0.0	672	gops_intersect_1	1.0.0
95	2013-02-20	672	gops_intersect_1	1.0.0	673		
97	2013-02-20	701	toolshed.g2.bx.psu.edu/repos/ryo-tas/macs14/peakcalling_macs14/1.4.1	1.4.1	700		
97	2013-02-20	701	toolshed.g2.bx.psu.edu/repos/ryo-tas/macs14/peakcalling_macs14/1.4.1	1.4.1	702		
97	2013-02-20	708	gops_intersect_1	1.0.0	703	cshl_awk_tool	1.0.0
97	2013-02-20	705	cshl_awk_tool	1.0.0	706	get_flanks1	1.0.0
97	2013-02-20	712	fasta2tab	1.1.0	711	Extract genomic DNA 1	2.2.2
97	2013-02-20	715	meme_meme	1.0.0	714	tab2fasta	1.1.0
98	2013-02-20	725	addValue	1.0.0	724		
100	2013-02-20	735	Cut1	1.0.1	734	mergeCols1	1.0.1
101	2013-02-20	738	mergeCols1	1.0.1	737	addValue	1.0.0
103	2013-02-20	759	barchart_gnuplot		758	Count1	
106	2013-02-20	814	gops_subtract_1	1.0.0	815	cshl_awk_tool	1.0.0
106	2013-02-20	815	cshl_awk_tool	1.0.0	816	get_flanks1	1.0.0
106	2013-02-20	819	Extract genomic DNA 1	2.2.2	818	gops_intersect_1	1.0.0
106	2013-02-20	819	Extract genomic DNA 1	2.2.2	820		
106	2013-02-20	831	Show beginning1	1.0.0	824	fasta2tab	1.1.0
106	2013-02-20	830	meme_meme	1.0.0	829	tab2fasta	1.1.0
106	2013-02-20	832	tab2fasta	1.1.0	831	Show beginning1	1.0.0
109	2013-02-20	881	cshl_awk_tool		879	toolshed.g2.bx.psu.edu/repos/ryo-tas/macs14/peakcalling_macs14/1.4.1	
109	2013-02-20	879	toolshed.g2.bx.psu.edu/repos/ryo-tas/macs14/peakcalling_macs14/1.4.1		880		
109	2013-02-20	887	gops_subtract_1		883		
109	2013-02-20	888	Extract genomic DNA 1		884	gops_intersect_1	
109	2013-02-20	884	gops_intersect_1		885	get_flanks1	
109	2013-02-20	885	get_flanks1		886		
109	2013-02-20	888	Extract genomic DNA 1		889		
109	2013-02-20	892	tab2fasta		891	Show beginning1	
110	2013-02-20	904	gops_intersect_1	1.0.0	900		
110	2013-02-20	909	tab2fasta	1.1.0	908	Show beginning1	1.0.0
110	2013-02-20	910	meme_meme	1.0.0	909	tab2fasta	1.1.0
110	2013-02-20	912	barchart_gnuplot	1.0.0	911	Count1	1.0.0
111	2013-02-20	919	cshl_awk_tool		917	toolshed.g2.bx.psu.edu/repos/ryo-tas/macs14/peakcalling_macs14/1.4.1	
111	2013-02-20	929	fasta2tab		927	Extract genomic DNA 1	
111	2013-02-20	927	Extract genomic DNA 1		928		
111	2013-02-20	932	meme_meme		931	tab2fasta	
111	2013-02-20	934	barchart_gnuplot		933	Count1	
112	2013-02-20	937	toolshed.g2.bx.psu.edu/repos/ryo-tas/macs14/peakcalling_macs14/1.4.1		938		
112	2013-02-20	943	gops_intersect_1		942		
112	2013-02-20	946	get_flanks1		945		
112	2013-02-20	956	fasta2tab		954	Extract genomic DNA 1	
112	2013-02-20	958	tab2fasta		957	Show beginning1	
113	2013-02-20	961	toolshed.g2.bx.psu.edu/repos/ryo-tas/macs14/peakcalling_macs14/1.4.1		960		
113	2013-02-20	963	cshl_awk_tool		961	toolshed.g2.bx.psu.edu/repos/ryo-tas/macs14/peakcalling_macs14/1.4.1	
113	2013-02-20	971	gops_subtract_1		967		
113	2013-02-20	968	gops_intersect_1		967		
113	2013-02-20	971	gops_subtract_1		969	get_flanks1	
113	2013-02-20	968	gops_intersect_1		969	get_flanks1	
113	2013-02-20	972	Count1		971	gops_subtract_1	
113	2013-02-20	973	barchart_gnuplot		972	Count1	
113	2013-02-20	982	meme_meme		981	tab2fasta	
114	2013-02-20	985	toolshed.g2.bx.psu.edu/repos/ryo-tas/macs14/peakcalling_macs14/1.4.1		984		
114	2013-02-20	998	Extract genomic DNA 1		991	gops_intersect_1	
114	2013-02-20	996	Count1		991	gops_intersect_1	
114	2013-02-20	995	gops_subtract_1		992	get_flanks1	
114	2013-02-20	1004	meme_meme		1002	tab2fasta	
114	2013-02-20	1003	meme_meme		1002	tab2fasta	
115	2013-02-20	1006	toolshed.g2.bx.psu.edu/repos/ryo-tas/macs14/peakcalling_macs14/1.4.1	1.4.1	1005		
115	2013-02-20	1027	Count1	1.0.0	1009	gops_subtract_1	1.0.0
115	2013-02-20	1009	gops_subtract_1	1.0.0	1010	cshl_awk_tool	1.0.0
115	2013-02-20	1010	cshl_awk_tool	1.0.0	1011	get_flanks1	1.0.0
115	2013-02-20	1014	Extract genomic DNA 1	2.2.2	1013	gops_intersect_1	1.0.0
115	2013-02-20	1016	Extract genomic DNA 1	2.2.2	1015		
115	2013-02-20	1014	Extract genomic DNA 1	2.2.2	1015		
115	2013-02-20	1017	fasta2tab	1.1.0	1016	Extract genomic DNA 1	2.2.2
115	2013-02-20	1022	Show beginning1	1.0.0	1021	fasta2tab	1.1.0
115	2013-02-20	1024	meme_meme	1.0.0	1023	tab2fasta	1.1.0
116	2013-02-20	1032	cshl_awk_tool	1.0.0	1030	toolshed.g2.bx.psu.edu/repos/ryo-tas/macs14/peakcalling_macs14/1.4.1	1.4.1
116	2013-02-20	1035	get_flanks1	1.0.0	1036		
116	2013-02-20	1049	Count1	1.0.0	1037	gops_intersect_1	1.0.0
116	2013-02-20	1045	fasta2tab	1.1.0	1038	Extract genomic DNA 1	2.2.2
116	2013-02-20	1040	Extract genomic DNA 1	2.2.2	1039		
116	2013-02-20	1048	meme_meme	1.0.0	1047	tab2fasta	1.1.0
116	2013-02-20	1052	barchart_gnuplot	1.0.0	1051	Count1	1.0.0
117	2013-02-20	1054	toolshed.g2.bx.psu.edu/repos/ryo-tas/macs14/peakcalling_macs14/1.4.1	1.4.1	1053		
117	2013-02-20	1061	gops_intersect_1	1.0.0	1056	cshl_awk_tool	1.0.0
117	2013-02-20	1058	cshl_awk_tool	1.0.0	1059	get_flanks1	1.0.0
117	2013-02-20	1062	Extract genomic DNA 1	2.2.2	1061	gops_intersect_1	1.0.0
117	2013-02-20	1069	fasta2tab	1.1.0	1062	Extract genomic DNA 1	2.2.2
117	2013-02-20	1068	meme_meme	1.0.0	1067	tab2fasta	1.1.0
117	2013-02-20	1072	meme_meme	1.0.0	1071	tab2fasta	1.1.0
118	2013-02-20	1093	fasta2tab	1.1.0	1086	Extract genomic DNA 1	2.2.2
118	2013-02-20	1089	fasta2tab	1.1.0	1088	Extract genomic DNA 1	2.2.2
118	2013-02-20	1092	meme_meme	1.0.0	1091	tab2fasta	1.1.0
118	2013-02-20	1100	barchart_gnuplot	1.0.0	1099	Count1	1.0.0
119	2013-02-20	1104	cshl_awk_tool	1.0.0	1102	toolshed.g2.bx.psu.edu/repos/ryo-tas/macs14/peakcalling_macs14/1.4.1	1.4.1
119	2013-02-20	1123	Count1	1.0.0	1105	gops_subtract_1	1.0.0
119	2013-02-20	1115	tab2fasta	1.1.0	1114	Show beginning1	1.0.0
120	2013-02-20	1129	gops_subtract_1	1.0.0	1128	cshl_awk_tool	1.0.0
120	2013-02-20	1129	gops_subtract_1	1.0.0	1130	cshl_awk_tool	1.0.0
120	2013-02-20	1131	get_flanks1	1.0.0	1132		
120	2013-02-20	1145	Count1	1.0.0	1133	gops_intersect_1	1.0.0
120	2013-02-20	1139	tab2fasta	1.1.0	1138	Show beginning1	1.0.0
120	2013-02-20	1143	tab2fasta	1.1.0	1142	Show beginning1	1.0.0
120	2013-02-20	1146	barchart_gnuplot	1.0.0	1145	Count1	1.0.0
121	2013-02-20	1160	Extract genomic DNA 1	2.2.2	1153	gops_subtract_1	1.0.0
121	2013-02-20	1161	fasta2tab	1.1.0	1160	Extract genomic DNA 1	2.2.2
121	2013-02-20	1162	Show beginning1	1.0.0	1161	fasta2tab	1.1.0
121	2013-02-20	1166	Show beginning1	1.0.0	1165	fasta2tab	1.1.0
121	2013-02-20	1168	meme_meme	1.0.0	1167	tab2fasta	1.1.0
124	2013-02-21	1298	Paste1	1.0.0	1265	Cut1	1.0.1
124	2013-02-21	1299	Paste1	1.0.0	1271	Cut1	1.0.1
124	2013-02-21	1264	cat1	1.0.0	1277	addValue	1.0.0
124	2013-02-21	1285	Summary_Statistics1	1.1.0	1278	Filter1	1.1.0
124	2013-02-21	1284	Summary_Statistics1	1.1.0	1278	Filter1	1.1.0
124	2013-02-21	1283	Filter1	1.1.0	1279	gops_coverage_1	1.0.0
124	2013-02-21	1281	Filter1	1.1.0	1279	gops_coverage_1	1.0.0
124	2013-02-21	1288	Summary_Statistics1	1.1.0	1281	Filter1	1.1.0
124	2013-02-21	1292	Summary_Statistics1	1.1.0	1283	Filter1	1.1.0
124	2013-02-21	1264	cat1	1.0.0	1286	addValue	1.0.0
124	2013-02-21	1269	Cut1	1.0.1	1289	Summary_Statistics1	1.1.0
124	2013-02-21	1274	Paste1	1.0.0	1296	Cut1	1.0.1
124	2013-02-21	1301	Add_a_column1	1.1.0	1298	Paste1	1.0.0
124	2013-02-21	1287	addValue	1.0.0	1304	Add_a_column1	1.1.0
124	2013-02-21	1279	gops_coverage_1	1.0.0	1306		
125	2013-02-21	1312	sort1	1.0.1	1310	bedtools_intersectBed	
125	2013-02-21	1315	Count1	1.0.0	1316	cshl_uniq_tool	1.0.0
125	2013-02-21	1310	bedtools_intersectBed		1318		
127	2013-02-22	1339	cshl_awk_tool	1.0.0	1337	sort1	1.0.1
127	2013-02-22	1341	cshl_uniq_tool	1.0.0	1339	cshl_awk_tool	1.0.0
127	2013-02-22	1334	toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_intersectbed_bam/0.1.0	0.1.0	1343		
129	2013-02-22	1359	toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_intersectbed_bam/0.1.0	0.1.0	1367		
130	2013-02-22	1368	barchart_gnuplot	1.0.0	1369	cat1	1.0.0
130	2013-02-22	1377	cshl_uniq_tool	1.0.0	1375	cshl_awk_tool	1.0.0
131	2013-02-22	1387	Cut1		1382	gops_intersect_1	
133	2013-02-22	1392	toolshed.g2.bx.psu.edu/repos/ryo-tas/macs14/peakcalling_macs14/1.4.1		1389		
133	2013-02-22	1390	bam_to_sam		1389		
133	2013-02-22	1394	bam_to_sam		1393		
133	2013-02-22	1401	CONVERTER_interval_to_bed_0		1398	gops_intersect_1	
133	2013-02-22	1408	meme_meme		1407	tab2fasta	
139	2013-02-22	1471	tab2fasta	1.1.0	1472	Show beginning1	1.0.0
139	2013-02-22	1473	fasta2tab	1.1.0	1474	Extract genomic DNA 1	2.2.2
141	2013-02-22	1488	Cut1	1.0.1	1489	cshl_uniq_tool	1.0.0
141	2013-02-22	1489	cshl_uniq_tool	1.0.0	1490	gops_intersect_1	1.0.0
141	2013-02-22	1490	gops_intersect_1	1.0.0	1491		
142	2013-02-25	1528	Paste1	1.0.0	1496	Cut1	1.0.1
142	2013-02-25	1535	Paste1	1.0.0	1498	Cut1	1.0.1
142	2013-02-25	1529	Paste1	1.0.0	1502	Cut1	1.0.1
142	2013-02-25	1510	cshl_grep_tool	1.0.0	1509	gops_coverage_1	1.0.0
142	2013-02-25	1519	Summary_Statistics1	1.1.0	1511	Filter1	1.1.0
142	2013-02-25	1522	Summary_Statistics1	1.1.0	1513	Filter1	1.1.0
142	2013-02-25	1494	cat1	1.0.0	1517	addValue	1.0.0
142	2013-02-25	1496	Cut1	1.0.1	1522	Summary_Statistics1	1.1.0
142	2013-02-25	1516	addValue	1.0.0	1533	Add_a_column1	1.1.0
148	2013-03-17	1623	Filter1	1.1.0	1604		
148	2013-03-17	1615	Filter1	1.1.0	1604		
148	2013-03-17	1611	Filter1	1.1.0	1604		
148	2013-03-17	1609	Filter1	1.1.0	1604		
148	2013-03-17	1607	Filter1	1.1.0	1604		
148	2013-03-17	1606	Paste1	1.0.0	1607	Filter1	1.1.0
148	2013-03-17	1608	Paste1	1.0.0	1609	Filter1	1.1.0
148	2013-03-17	1610	Paste1	1.0.0	1611	Filter1	1.1.0
148	2013-03-17	1616	Paste1	1.0.0	1614	Paste1	1.0.0
148	2013-03-17	1626	Paste1	1.0.0	1624	Paste1	1.0.0
148	2013-03-17	1624	Paste1	1.0.0	1625	Filter1	1.1.0
148	2013-03-17	1628	Cut1	1.0.1	1626	Paste1	1.0.0
148	2013-03-17	1626	Paste1	1.0.0	1627	Filter1	1.1.0
148	2013-03-17	1631	Add_a_column1	1.1.0	1630	Add_a_column1	1.1.0
148	2013-03-17	1634	Add_a_column1	1.1.0	1633	Add_a_column1	1.1.0
148	2013-03-17	1642	Cut1	1.0.1	1641	Add_a_column1	1.1.0
148	2013-03-17	1643	XY_Plot_1	1.0.1	1642	Cut1	1.0.1
150	2013-03-25	1652	comp1	1.0.2	1653	Show beginning1	1.0.0
150	2013-03-25	1657	Grouping1	2.0.0	1655	gops_join_1	1.0.0
150	2013-03-25	1658	sort1	1.0.1	1657	Grouping1	2.0.0
153	2013-04-09	1766	toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_multiintersectbed/0.1.0	0.1.0	1765		
153	2013-04-09	1775	Cut1	1.0.1	1776	Add_a_column1	1.1.0
153	2013-04-09	1777	toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_multiintersectbed/0.1.0	0.1.0	1780		
153	2013-04-09	1777	toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_multiintersectbed/0.1.0	0.1.0	1783		
153	2013-04-09	1777	toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_multiintersectbed/0.1.0	0.1.0	1784		
153	2013-04-09	1777	toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_multiintersectbed/0.1.0	0.1.0	1786		
153	2013-04-09	1777	toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_multiintersectbed/0.1.0	0.1.0	1792		
153	2013-04-09	1777	toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_multiintersectbed/0.1.0	0.1.0	1793		
153	2013-04-09	1777	toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_multiintersectbed/0.1.0	0.1.0	1796		
153	2013-04-09	1800	gops_intersect_1	1.0.0	1799	Filter1	1.1.0
153	2013-04-09	1803	Cut1	1.0.1	1800	gops_intersect_1	1.0.0
153	2013-04-09	1801	Cut1	1.0.1	1802		
155	2013-04-10	1818	bismark_bowtie	0.7.7.3	1817		
155	2013-04-10	1824	sam_to_bam	1.1.2	1818	bismark_bowtie	0.7.7.3
155	2013-04-10	1818	bismark_bowtie	0.7.7.3	1819		
155	2013-04-10	1818	bismark_bowtie	0.7.7.3	1821		
155	2013-04-10	1825	samtools_rmdup	1.0.0	1824	sam_to_bam	1.1.2
158	2013-04-18	1890	Add_a_column1	1.1.0	1889	Filter1	1.1.0
158	2013-04-18	1896	cshl_find_and_replace	1.0.0	1895	cshl_find_and_replace	1.0.0
158	2013-04-18	1897	cshl_find_and_replace	1.0.0	1896	cshl_find_and_replace	1.0.0
158	2013-04-18	1898	cshl_find_and_replace	1.0.0	1897	cshl_find_and_replace	1.0.0
158	2013-04-18	1899	Add_a_column1	1.1.0	1898	cshl_find_and_replace	1.0.0
158	2013-04-18	1903	mergeCols1	1.0.1	1902	addValue	1.0.0
159	2013-04-28	1907	Cut1		1906	sort1	
160	2013-04-28	1911	Cut1		1910	sort1	
160	2013-04-28	1912	methtools_destrand		1911	Cut1	
162	2013-05-17	1935	fasta2tab	1.1.0	1928	Extract genomic DNA 1	2.2.2
162	2013-05-17	1933	tab2fasta	1.1.0	1932	Show beginning1	1.0.0
162	2013-05-17	1940	barchart_gnuplot	1.0.0	1939	Count1	1.0.0
164	2013-05-20	1971	samtools_rmdup	1.0.0	1970	bowtie2	0.1
164	2013-05-20	1980	bam2wig	1.3	1979	samtools_rmdup	1.0.0
164	2013-05-20	1982	bowtie2	0.1	1981		
164	2013-05-20	1983	samtools_rmdup	1.0.0	1982	bowtie2	0.1
165	2013-05-23	1986	toolshed.g2.bx.psu.edu/repos/bjoern-gruening/trim_galore/trim_galore/0.2.4.1		1985		
165	2013-05-23	1989	toolshed.g2.bx.psu.edu/repos/bjoern-gruening/trim_galore/trim_galore/0.2.4.1		1990		
171	2013-05-31	2175	Filter1		2174	Cut1	
171	2013-05-31	2178	cshl_find_and_replace		2177	cshl_find_and_replace	
171	2013-05-31	2180	cshl_find_and_replace		2179	cshl_find_and_replace	
171	2013-05-31	2181	cshl_find_and_replace		2180	cshl_find_and_replace	
171	2013-05-31	2183	cshl_find_and_replace		2182	cshl_find_and_replace	
171	2013-05-31	2199	samtools_rmdup		2191	sam_merge2	
171	2013-05-31	2191	sam_merge2		2197	sam_to_bam	
171	2013-05-31	2204	Filter1		2200	methtools_calling	
174	2013-06-09	2333	cuffmerge	0.0.5	2314	cufflinks	0.0.5
174	2013-06-09	2341	tophat2	0.5	2318	toolshed.g2.bx.psu.edu/repos/bjoern-gruening/trim_galore/trim_galore/0.2.4.1	0.2.4.1
174	2013-06-09	2341	tophat2	0.5	2318	toolshed.g2.bx.psu.edu/repos/bjoern-gruening/trim_galore/trim_galore/0.2.4.1	0.2.4.1
174	2013-06-09	2338	tophat2	0.5	2321	toolshed.g2.bx.psu.edu/repos/bjoern-gruening/trim_galore/trim_galore/0.2.4.1	0.2.4.1
174	2013-06-09	2336	tophat2	0.5	2322	toolshed.g2.bx.psu.edu/repos/bjoern-gruening/trim_galore/trim_galore/0.2.4.1	0.2.4.1
174	2013-06-09	2333	cuffmerge	0.0.5	2326	cufflinks	0.0.5
174	2013-06-09	2335	tophat2	0.5	2329	toolshed.g2.bx.psu.edu/repos/bjoern-gruening/trim_galore/trim_galore/0.2.4.1	0.2.4.1
174	2013-06-09	2317	cuffdiff	0.0.5	2331	tophat2	0.5
174	2013-06-09	2316	cuffdiff	0.0.5	2333	cuffmerge	0.0.5
174	2013-06-09	2317	cuffdiff	0.0.5	2334	tophat2	0.5
174	2013-06-09	2317	cuffdiff	0.0.5	2335	tophat2	0.5
174	2013-06-09	2331	tophat2	0.5	2337	toolshed.g2.bx.psu.edu/repos/bjoern-gruening/trim_galore/trim_galore/0.2.4.1	0.2.4.1
174	2013-06-09	2326	cufflinks	0.0.5	2338	tophat2	0.5
174	2013-06-09	2328	cufflinks	0.0.5	2340	tophat2	0.5
174	2013-06-09	2316	cuffdiff	0.0.5	2341	tophat2	0.5
174	2013-06-09	2316	cuffdiff	0.0.5	2342	tophat2	0.5
174	2013-06-09	2312	cufflinks	0.0.5	2343	tophat2	0.5
174	2013-06-09	2343	tophat2	0.5	2345		
174	2013-06-09	2342	tophat2	0.5	2345		
174	2013-06-09	2339	tophat2	0.5	2345		
174	2013-06-09	2338	tophat2	0.5	2345		
174	2013-06-09	2333	cuffmerge	0.0.5	2345		
174	2013-06-09	2332	cufflinks	0.0.5	2345		
174	2013-06-09	2315	cufflinks	0.0.5	2345		
174	2013-06-09	2312	cufflinks	0.0.5	2345		
174	2013-06-09	2318	toolshed.g2.bx.psu.edu/repos/bjoern-gruening/trim_galore/trim_galore/0.2.4.1	0.2.4.1	2347		
174	2013-06-09	2320	toolshed.g2.bx.psu.edu/repos/bjoern-gruening/trim_galore/trim_galore/0.2.4.1	0.2.4.1	2350		
174	2013-06-09	2320	toolshed.g2.bx.psu.edu/repos/bjoern-gruening/trim_galore/trim_galore/0.2.4.1	0.2.4.1	2351		
174	2013-06-09	2330	toolshed.g2.bx.psu.edu/repos/bjoern-gruening/trim_galore/trim_galore/0.2.4.1	0.2.4.1	2362		
176	2013-06-12	2384	sam_merge2		2376	sam_to_bam	
176	2013-06-12	2385	Filter1		2383	Cut1	
176	2013-06-12	2388	methtools_calling		2386	samtools_rmdup	
176	2013-06-12	2396	cshl_find_and_replace		2393	cshl_find_and_replace	
176	2013-06-12	2398	methtools_destrand		2395	cshl_sort_header	
176	2013-06-12	2399	cshl_find_and_replace		2396	cshl_find_and_replace	
179	2013-06-12	2449	Add_a_column1	1.1.0	2446	Filter1	1.1.0
179	2013-06-12	2443	Cut1	1.0.2	2452	addValue	1.0.0
182	2013-06-15	2505	Cut1	1.0.2	2504		
182	2013-06-15	2506	Filter1	1.1.0	2505	Cut1	1.0.2
182	2013-06-15	2507	Add_a_column1	1.1.0	2506	Filter1	1.1.0
182	2013-06-15	2512	cshl_find_and_replace	1.0.0	2511	cshl_find_and_replace	1.0.0
182	2013-06-15	2515	cshl_find_and_replace	1.0.0	2514	cshl_find_and_replace	1.0.0
205	2013-06-21	2666	addValue	1.0.0	2667	Cut1	1.0.2
205	2013-06-21	2670	toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_intersectbed_bam/0.1.0	0.1.0	2668	Cut1	1.0.2
205	2013-06-21	2673	Filter1	1.1.0	2671	Cut1	1.0.2
205	2013-06-21	2672	Add_a_column1	1.1.0	2673	Filter1	1.1.0
205	2013-06-21	2679	cshl_find_and_replace	1.0.0	2676	cshl_find_and_replace	1.0.0
205	2013-06-21	2676	cshl_find_and_replace	1.0.0	2677	cshl_find_and_replace	1.0.0
205	2013-06-21	2678	cshl_find_and_replace	1.0.0	2679	cshl_find_and_replace	1.0.0
218	2013-06-21	2794	toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_intersectbed_bam/0.1.0	0.1.0	2792	methtools_destrand	0.1.1
218	2013-06-21	2797	methtools_filter	0.1.1	2794	toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_intersectbed_bam/0.1.0	0.1.0
218	2013-06-21	2796	methtools_dmr	0.1.1	2797	methtools_filter	0.1.1
218	2013-06-21	2796	methtools_dmr	0.1.1	2797	methtools_filter	0.1.1
218	2013-06-21	2790	cshl_sort_header	0.1	2798		
224	2013-06-22	2853	methtools_plot	0.1.1	2852	cshl_sort_header	0.1
227	2013-06-22	2858	methtools_destrand	0.1.1	2857	cshl_sort_header	0.1
229	2013-06-22	2862	methtools_destrand	0.1.1	2863	cshl_sort_header	0.1
241	2013-06-23	3002	toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_intersectbed_bam/0.1.0	0.1.0	2998	Filter1	1.1.0
241	2013-06-23	2994	Paste1	1.0.0	3000	toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_intersectbed_bam/0.1.0	0.1.0
241	2013-06-23	2997	Filter1	1.1.0	3004		
241	2013-06-23	2998	Filter1	1.1.0	3005		
242	2013-06-24	3036	bowtie2		3006		
